x,y,v,kappa,s
-8.973,-0.129,7.667,-0.01,9.6
-9.073,-0.129,7.588,0.0,9.7
-9.173,-0.129,7.509,-0.0,9.8
-9.273,-0.129,7.428,-0.01,9.9
-9.373,-0.129,7.347,0.0,10.0
-9.473,-0.129,7.265,-0.01,10.1
-9.573,-0.129,7.182,-0.0,10.2
-9.673,-0.129,7.098,-0.01,10.3
-9.773,-0.129,7.013,0.0,10.4
-9.873,-0.129,6.927,-0.01,10.5
-9.973,-0.128,6.84,-0.01,10.6
-10.073,-0.128,6.751,-0.0,10.7
-10.173,-0.128,6.662,-0.01,10.8
-10.273,-0.127,6.571,0.0,10.9
-10.373,-0.127,6.479,-0.01,11.0
-10.473,-0.126,6.386,-0.01,11.1
-10.573,-0.125,6.291,-0.01,11.2
-10.673,-0.124,6.195,-0.01,11.3
-10.773,-0.124,6.098,0.0,11.4
-10.873,-0.123,5.999,-0.02,11.5
-10.973,-0.122,5.898,0.0,11.6
-11.073,-0.12,5.795,-0.0101,11.7
-11.173,-0.119,5.691,-0.0099,11.8
-11.273,-0.118,5.584,-0.02,11.9
-11.373,-0.116,5.476,-0.0,12.0
-11.473,-0.115,5.365,0.0,12.1
-11.573,-0.114,5.252,0.01,12.2
-11.673,-0.112,5.136,0.04,12.3
-11.773,-0.111,5.018,0.06,12.4
-11.873,-0.111,4.897,0.06,12.5
-11.973,-0.111,4.773,0.09,12.6
-12.073,-0.112,4.646,0.09,12.7
-12.173,-0.114,4.515,0.1203,12.8
-12.273,-0.117,4.38,0.12,12.9
-12.373,-0.122,4.241,0.1298,13.0
-12.473,-0.127,4.097,0.1011,13.1
-12.572,-0.134,3.948,0.0392,13.2
-12.672,-0.141,3.792,-0.0093,13.3
-12.772,-0.148,3.631,-0.0805,13.4
-12.872,-0.154,3.462,-0.1503,13.5
-12.972,-0.159,3.284,-0.2301,13.6
-13.072,-0.161,3.096,-0.3299,13.7
-13.172,-0.16,2.895,-0.4905,13.8
-13.272,-0.155,2.68,-0.7141,13.9
-13.371,-0.142,2.446,-1.0268,14.0
-13.468,-0.119,2.187,-1.6202,14.1
-13.56,-0.08,1.894,-2.4615,14.2
-13.64,-0.021,1.668,-3.1734,14.299
-13.697,0.06,1.733,-2.9414,14.399
-13.728,0.155,2.049,-1.8274,14.499
-13.742,0.254,2.323,-0.9551,14.598
-13.746,0.354,2.569,-0.4905,14.698
-13.745,0.454,2.792,-0.2099,14.798
-13.742,0.554,2.999,-0.01,14.898
-13.74,0.654,3.193,0.0297,14.998
-13.737,0.754,3.376,0.0203,15.098
-13.734,0.854,3.549,0.03,15.198
-13.732,0.954,3.714,0.03,15.298
-13.73,1.054,3.873,0.0198,15.398
-13.728,1.154,4.024,0.0202,15.498
-13.727,1.254,4.171,0.02,15.598
-13.726,1.354,4.312,0.02,15.698
-13.725,1.454,4.449,0.01,15.798
-13.724,1.554,4.582,0.02,15.898
-13.723,1.654,4.711,0.01,15.998
-13.722,1.754,4.837,0.01,16.098
-13.722,1.854,4.96,0.02,16.198
-13.721,1.954,5.079,0.01,16.298
-13.721,2.054,5.196,0.01,16.398
-13.721,2.154,5.31,0.01,16.498
-13.72,2.254,5.422,0.0,16.598
-13.72,2.354,5.531,0.02,16.698
-13.72,2.454,5.639,0.0,16.798
-13.721,2.554,5.744,0.02,16.898
-13.721,2.654,5.848,-0.0,16.998
-13.721,2.754,5.95,0.0,17.098
-13.722,2.854,6.05,0.01,17.198
-13.722,2.954,6.148,0.0,17.298
-13.722,3.054,6.245,0.01,17.398
-13.723,3.154,6.34,0.0,17.498
-13.723,3.254,6.434,-0.0,17.598
-13.724,3.354,6.527,-0.0,17.698
-13.724,3.454,6.618,0.01,17.798
-13.725,3.554,6.708,-0.01,17.898
-13.725,3.654,6.797,-0.0,17.998
-13.726,3.754,6.885,0.01,18.098
-13.726,3.854,6.971,-0.02,18.198
-13.727,3.954,7.057,0.01,18.298
-13.727,4.054,7.141,-0.01,18.398
-13.728,4.154,7.225,-0.0,18.498
-13.728,4.254,7.307,-0.01,18.598
-13.728,4.354,7.278,-0.01,18.698
-13.729,4.454,7.195,0.0,18.798
-13.729,4.554,7.112,-0.01,18.898
-13.729,4.654,7.027,-0.01,18.998
-13.729,4.754,6.941,-0.01,19.098
-13.729,4.854,6.854,-0.01,19.198
-13.729,4.954,6.766,-0.02,19.298
-13.728,5.054,6.676,-0.0,19.398
-13.728,5.154,6.586,-0.01,19.498
