x,y,left_dist,right_dist,Tx,Ty,Nx,Ny,kappa,dkappa,ddkappa,s
-11.8731,-0.1107,0.9,0.85,-0.999999,0.001154,-0.001154,-0.999999,0.06881758,0.15728433,-0.10260887,12.5
-11.9731,-0.1109,0.9,0.85,-0.999979,-0.006517,0.006517,-0.999979,0.08403001,0.14596387,-0.12249489,12.6
-12.0731,-0.112,0.9,0.85,-0.999878,-0.015651,0.015651,-0.999878,0.09801036,0.13278535,-0.14910517,12.7
-12.1731,-0.114,0.9,0.85,-0.999659,-0.026116,0.026116,-0.999659,0.11058708,0.11614284,-0.39614694,12.8
-12.273,-0.1172,0.9,0.85,-0.999287,-0.03776,0.03776,-0.999287,0.12123893,0.05355596,-1.2369761,12.9
-12.3729,-0.1216,0.9,0.85,-0.998732,-0.050345,0.050345,-0.998732,0.12129827,-0.13125238,-2.21500887,13.0
-12.4728,-0.1273,0.9,0.85,-0.998077,-0.061989,0.061989,-0.998077,0.09498845,-0.38944581,-2.14362246,13.1
-12.5725,-0.134,0.9,0.85,-0.997595,-0.069309,0.069309,-0.997595,0.04340911,-0.55997687,-1.1479553,13.2
-12.6723,-0.1411,0.9,0.85,-0.997501,-0.070652,0.070652,-0.997501,-0.01700692,-0.61903687,-0.56652397,13.3
-12.772,-0.1481,0.925,0.825,-0.997825,-0.065915,0.065915,-0.997825,-0.08039826,-0.67328167,-0.83547199,13.4
-12.8718,-0.1543,0.95,5.398,-0.998508,-0.054603,0.054603,-0.998508,-0.15166326,-0.78613127,-1.52877032,13.5
-12.9717,-0.159,0.95,9.7,-0.999365,-0.035622,0.035622,-0.999365,-0.23762452,-0.97903573,-2.68504824,13.6
-13.0717,-0.1614,0.95,9.7,-0.999975,-0.007103,0.007103,-0.999975,-0.3474704,-1.32314091,-4.73423052,13.7
-13.1717,-0.1605,0.95,9.7,-0.999426,0.033865,-0.033865,-0.999426,-0.5022527,-1.92588183,-8.23392201,13.8
-13.2715,-0.1547,0.95,9.7,-0.995644,0.093237,-0.093237,-0.995644,-0.73264677,-2.96992532,-13.96591261,13.9
-13.3706,-0.1418,0.95,9.7,-0.983758,0.179501,-0.179501,-0.983758,-1.09623776,-4.71906435,-18.41350266,14.0
-13.4679,-0.1188,0.95,9.7,-0.951422,0.307891,-0.307891,-0.951422,-1.67645964,-6.65262585,-8.50590927,14.1
-13.56,-0.0805,0.961,6.593,-0.869377,0.494149,-0.494149,-0.869377,-2.42676293,-6.42024621,25.69042356,14.2
-13.6399,-0.021,0.82,15.476,-0.697372,0.716709,-0.716709,-0.697372,-2.96050888,-1.51454114,59.21225078,14.3
-13.6972,0.0604,0.8,24.35,-0.449168,0.893447,-0.893447,-0.449168,-2.72967116,5.42220395,49.43757051,14.4
-13.7285,0.1551,0.8,24.35,-0.226013,0.974124,-0.974124,-0.226013,-1.87606809,8.37297297,6.39868602,14.5
-13.7421,0.2541,0.8,24.35,-0.088652,0.996063,-0.996063,-0.088652,-1.05507657,6.70194115,-21.19815507,14.6
-13.7462,0.354,0.8,24.35,-0.01629,0.999867,-0.999867,-0.01629,-0.53567986,4.13334195,-21.38831393,14.7
-13.7454,0.4539,0.8,24.35,0.018467,0.999829,-0.999829,0.018467,-0.22840817,2.42427837,-14.50837038,14.8
-13.7425,0.5539,0.8,24.35,0.029402,0.999568,-0.999568,0.029402,-0.05082419,1.23166788,-10.16511469,14.9
-13.7395,0.6539,0.8,24.35,0.02863,0.99959,-0.99959,0.02863,0.0179254,0.39125543,-5.9573391,15.0
-13.7368,0.7538,0.8,0.85,0.025818,0.999667,-0.999667,0.025818,0.0274269,0.04020006,-2.03151847,15.1
-13.7343,0.8538,0.8,0.85,0.023146,0.999732,-0.999732,0.023146,0.02596541,-0.01504827,-0.27940722,15.2
-13.7321,0.9538,0.8,0.85,0.020626,0.999787,-0.999787,0.020626,0.02441724,-0.01568139,-0.00510287,15.3
-13.7302,1.0538,0.8,0.85,0.018264,0.999833,-0.999833,0.018264,0.02282913,-0.01606884,-0.00375208,15.4
-13.7285,1.1537,0.8,0.85,0.016061,0.999871,-0.999871,0.016061,0.02120348,-0.0164318,-0.00350235,15.5
-13.727,1.2537,0.8,0.85,0.014023,0.999902,-0.999902,0.014023,0.01954277,-0.01676931,-0.0022326,15.6
-13.7257,1.3537,0.8,0.85,0.012153,0.999926,-0.999926,0.012153,0.01784961,-0.01687832,0.00462708,15.7
-13.7246,1.4537,0.8,0.85,0.010454,0.999945,-0.999945,0.010454,0.01616711,-0.01584389,0.01986294,15.8
-13.7236,1.5537,0.8,0.85,0.00892,0.99996,-0.99996,0.00892,0.01468084,-0.01290574,0.03231263,15.9
-13.7228,1.6537,0.8,0.85,0.007518,0.999972,-0.999972,0.007518,0.01358596,-0.00938137,0.02789812,16.0
-13.7221,1.7537,0.8,0.85,0.006203,0.999981,-0.999981,0.006203,0.01280456,-0.00732611,0.0127732,16.1
-13.7215,1.8537,0.8,0.85,0.004957,0.999988,-0.999988,0.004957,0.01212074,-0.00682673,0.00239848,16.2
-13.7211,1.9537,0.8,0.85,0.003779,0.999993,-0.999993,0.003779,0.01143922,-0.00684641,-0.00040618,16.3
-13.7208,2.0537,0.8,0.85,0.002669,0.999996,-0.999996,0.002669,0.01075146,-0.00690796,-0.0006066,16.4
-13.7206,2.1537,0.8,0.85,0.001628,0.999999,-0.999999,0.001628,0.01005763,-0.00696774,-0.00058879,16.5
-13.7205,2.2537,0.8,0.85,0.000658,1.0,-1.0,0.000658,0.00935791,-0.00702572,-0.00053073,16.6
-13.7204,2.3537,0.8,0.85,-0.000243,1.0,-1.0,-0.000243,0.00865248,-0.00707388,-8.856e-05,16.7
-13.7205,2.4537,0.8,0.85,-0.001073,0.999999,-0.999999,-0.001073,0.00794313,-0.00704343,9.79e-05,16.8
-13.7206,2.5537,0.8,0.85,-0.001832,0.999998,-0.999998,-0.001832,0.0072438,-0.0070543,-0.00135152,16.9
-13.7209,2.6537,0.8,0.85,-0.002522,0.999997,-0.999997,-0.002522,0.00653227,-0.00731374,-0.00228307,17.0
