x,y,v,kappa,s
-2.082,38.935,4.366,-0.1887,47.5232
-2.178,39.11,4.179,0.4816,47.7229
-2.29,39.276,3.983,-0.5566,47.9229
-2.383,39.453,4.273,0.2682,48.1229
-2.486,39.624,4.502,0.2014,48.3228
-2.595,39.792,4.32,-0.1491,48.5228
-2.699,39.962,4.132,-0.4232,48.7223
-2.788,40.141,3.933,0.5707,48.9221
-2.898,40.308,4.164,-0.5092,49.1221
-2.989,40.486,4.443,0.3342,49.322
-3.092,40.657,4.704,0.1405,49.5217
-3.201,40.825,4.953,-0.1431,49.7217
-3.304,40.996,4.991,-0.2967,49.9216
-3.397,41.173,4.829,0.1643,50.1216
-3.495,41.347,4.66,0.0849,50.3216
-3.597,41.52,4.485,-0.188,50.5216
-3.692,41.695,4.303,0.0452,50.7214
-3.789,41.87,4.114,0.3928,50.9211
-3.899,42.037,3.914,0.0544,51.1211
-4.011,42.203,3.704,-0.6434,51.3211
-4.1,42.381,4.015,0.2915,51.5209
-4.2,42.554,4.303,-0.0176,51.7206
-4.3,42.728,4.15,-0.1,51.9204
-4.395,42.903,3.953,0.4777,52.1201
-4.508,43.069,3.745,-0.6295,52.3201
-4.598,43.247,4.053,0.4934,52.5201
-4.706,43.415,4.338,-0.2345,52.7199
-4.805,43.588,4.283,-0.1247,52.9194
-4.9,43.764,4.093,0.2787,53.1192
-5.005,43.934,3.893,-0.531,53.3191
-5.092,44.114,3.681,0.6515,53.5191
-5.201,44.282,3.994,-0.3742,53.7189
-5.297,44.457,4.283,0.0962,53.9185
-5.396,44.63,4.554,0.3082,54.118
-5.506,44.797,4.743,-0.2839,54.3179
-5.606,44.97,4.572,-0.0228,54.5179
-5.706,45.143,4.393,-0.1796,54.7179
-5.799,45.32,4.207,0.2209,54.9178
-5.9,45.493,4.013,0.2542,55.1176
-6.01,45.66,3.808,0.0118,55.3176
-6.12,45.827,3.592,-0.6841,55.5174
-6.206,46.007,3.912,0.5512,55.7174
-6.311,46.177,4.207,-0.3087,55.9172
-6.406,46.353,4.483,0.1246,56.117
-6.505,46.526,4.742,0.3376,56.3164
-6.616,46.692,4.742,-0.218,56.5164
-6.719,46.863,4.57,-0.2347,56.7164
-6.815,47.039,4.391,0.388,56.9164
-6.923,47.207,4.205,-0.2372,57.1162
-7.023,47.38,4.011,-0.0963,57.3158
-7.12,47.554,3.807,0.3685,57.5154
-7.23,47.721,3.591,-0.6847,57.7152
-7.316,47.902,3.815,0.6065,57.9152
-7.423,48.07,4.117,0.1122,58.115
-7.534,48.237,4.133,-0.3027,58.315
-7.634,48.409,3.936,-0.2934,58.5145
-7.724,48.587,3.727,0.6355,58.7141
-7.836,48.753,4.036,-0.1109,58.9141
-7.945,48.921,4.324,-0.4278,59.1141
-8.039,49.097,4.592,0.2203,59.3138
-8.14,49.269,4.846,0.251,59.5133
-8.25,49.436,4.891,-0.2189,59.7132
-8.352,49.608,4.725,-0.1971,59.9132
-8.448,49.784,4.552,0.426,60.1132
-8.558,49.951,4.428,-0.2365,60.3131
-8.66,50.122,4.244,-0.1065,60.5129
-8.758,50.296,4.051,0.183,60.7128
-8.863,50.467,3.849,0.2338,60.9128
-8.976,50.632,3.635,-0.6683,61.1128
-9.066,50.81,3.951,0.3807,61.3127
-9.169,50.982,4.099,0.2134,61.5124
-9.279,51.148,3.899,-0.1529,61.7124
-9.384,51.318,3.689,-0.5459,61.9119
-9.47,51.499,3.465,0.7354,62.1118
-9.581,51.665,3.796,-0.0392,62.3118
-9.691,51.832,4.099,-0.4107,62.5118
-9.787,52.007,4.382,-0.0016,62.7113
-9.883,52.181,4.196,0.3767,62.9108
-9.992,52.349,4.002,-0.5514,63.1106
-10.082,52.528,3.809,0.6085,63.3106
-10.193,52.694,4.112,-0.3089,63.5105
-10.293,52.867,4.155,-0.0383,63.7103
-10.392,53.041,3.958,0.1992,63.9102
-10.498,53.21,3.75,0.19,64.1101
-10.61,53.376,3.53,-0.7084,64.3101
