x,y,v,kappa
-12.628,56.82,0.382,-0.1163
-12.731,56.991,0.562,-0.156
-12.826,57.167,0.381,0.0032
-12.922,57.342,0.548,0.0486
-13.024,57.514,0.485,-0.0509
-13.119,57.69,0.514,0.068
-13.215,57.865,0.545,0.2245
-13.326,58.031,0.453,-0.0367
-13.437,58.198,0.488,-0.2356
-13.528,58.376,0.556,-0.0158
-13.627,58.549,0.407,0.0435
-13.728,58.722,0.538,-0.0618
-13.823,58.898,0.498,0.0314
-13.919,59.073,0.419,0.0338
-14.023,59.244,0.523,-0.0571
-14.115,59.421,0.392,0.0513
-14.215,59.594,0.569,0.0016
-14.318,59.765,0.39,0.002
-14.408,59.944,0.58,0.19
-14.52,60.109,0.498,0.0064
-14.626,60.278,0.449,-0.1794
-14.725,60.452,0.509,-0.0795
-14.82,60.628,0.578,0.0584
-14.918,60.803,0.387,-0.0066
-15.022,60.973,0.56,-0.0594
-15.11,61.153,0.51,0.0761
-15.216,61.322,0.486,-0.0062
-15.313,61.497,0.559,0.0198
-15.408,61.672,0.502,0.0498
-15.518,61.839,0.516,-0.0363
-15.608,62.018,0.471,0.0526
-15.718,62.184,0.571,-0.0289
-15.815,62.359,0.384,-0.008
-15.914,62.532,0.552,-0.0252
-16.02,62.701,0.41,-0.0751
-16.107,62.881,0.491,0.0684
-16.216,63.049,0.511,-0.0459
-16.309,63.226,0.491,-0.0523
-16.405,63.401,0.406,0.0802
-16.505,63.575,0.569,0.1282
-16.605,63.747,0.418,0.031
-16.717,63.913,0.48,-0.1126
-16.81,64.09,0.399,0.0029
-16.915,64.26,0.467,-0.0457
-17.014,64.433,0.437,-0.0281
-17.105,64.611,0.542,0.0419
-17.215,64.778,0.395,-0.0467
-17.302,64.958,0.541,0.1367
-17.409,65.126,0.402,0.1023
-17.517,65.294,0.53,-0.135
-17.618,65.467,0.5,0.0024
-17.715,65.642,0.477,0.1074
-17.827,65.807,0.504,-0.0713
-17.926,65.981,0.581,-0.1094
-18.027,66.154,0.398,-0.0628
-18.123,66.329,0.544,0.0527
-18.217,66.505,0.424,0.2245
-18.327,66.672,0.494,-0.0079
-18.439,66.838,0.511,-0.2248
-18.53,67.016,0.408,0.0099
