x,y,v,kappa,s
-3.304,40.996,5.194,-0.2964,49.922
-3.397,41.173,5.308,0.1643,50.122
-3.495,41.347,5.077,0.0849,50.322
-3.597,41.52,4.835,-0.1879,50.522
-3.692,41.695,4.58,0.0452,50.721
-3.789,41.87,4.31,0.3922,50.921
-3.899,42.037,4.022,0.0544,51.121
-4.011,42.203,3.712,-0.6408,51.321
-4.1,42.381,4.022,0.2912,51.521
-4.2,42.554,4.31,-0.0176,51.721
-4.3,42.728,4.345,-0.1,51.92
-4.395,42.903,4.06,0.4766,52.12
-4.508,43.069,3.752,-0.627,52.32
-4.598,43.247,4.06,0.4922,52.52
-4.706,43.415,4.345,-0.2343,52.72
-4.805,43.588,4.561,-0.1247,52.919
-4.9,43.764,4.29,0.2785,53.119
-5.005,43.934,4.001,-0.5295,53.319
-5.092,44.114,3.689,0.6487,53.519
-5.201,44.282,4.001,-0.3736,53.719
-5.297,44.457,4.29,0.0962,53.918
-5.396,44.63,4.56,0.3079,54.118
-5.506,44.797,4.816,-0.2837,54.318
-5.606,44.97,4.996,-0.0228,54.518
-5.706,45.143,4.75,-0.1796,54.718
-5.799,45.32,4.49,0.2208,54.918
-5.9,45.493,4.215,0.2541,55.118
-6.01,45.66,3.92,0.0118,55.318
-6.12,45.827,3.601,-0.681,55.517
-6.206,46.007,3.92,0.5495,55.717
-6.311,46.177,4.215,-0.3084,55.917
-6.406,46.353,4.49,0.1246,56.117
-6.505,46.526,4.749,0.3373,56.316
-6.616,46.692,4.995,-0.2179,56.516
-6.719,46.863,4.994,-0.2346,56.716
-6.815,47.039,4.748,0.3874,56.916
-6.923,47.207,4.488,-0.2371,57.116
-7.023,47.38,4.213,-0.0963,57.316
-7.12,47.554,3.918,0.368,57.515
-7.23,47.721,3.599,-0.6815,57.715
-7.316,47.902,3.822,0.6043,57.915
-7.423,48.07,4.124,0.1122,58.115
-7.534,48.237,4.329,-0.3025,58.315
-7.634,48.409,4.043,-0.2932,58.514
-7.724,48.587,3.735,0.6329,58.714
-7.836,48.753,4.043,-0.1109,58.914
-7.945,48.921,4.33,-0.4271,59.114
-8.039,49.097,4.598,0.2202,59.314
-8.14,49.269,4.852,0.2509,59.513
-8.25,49.436,5.056,-0.2188,59.713
-8.352,49.608,4.813,-0.197,59.913
-8.448,49.784,4.557,0.4252,60.113
-8.558,49.951,4.782,-0.2363,60.313
